Code,Metal,metalid
NAXC,Sodium,1
MGXC,Magnesium,2
ALXC,Aluminum,3
SIXC,Silicon,4
PHXC,Phosphorous,5
SUXC,Sulfur,6
CLXC,Chlorine,7
KPXC,Potassium,8
CAXC,Calcium,9
SCXC,Scandium,10
TIXC,Titanium,11
VAXC,Vanadium,12
CRXC,Chromium,13
MNXC,Manganese,14
FEXC,Iron,15
COXC,Cobalt,16
NIXC,Nickel,17
CUXC,Copper,18
ZNXC,Zinc,19
GAXC,Gallium,20
ASXC,Arsenic,21
SEXC,Selenium,22
BRXC,Bromine,23
RBXC,Rubidium,24
SRXC,Strontium,25
YTXC,Yttrium,26
ZRXC,Zirconium,27
NBXC,Niobium,28
MOXC,Molybdenum,29
PDXC,Palladium,30
AGXC,Silver,31
CDXC,Cadmium,32
INXC,Indium,33
SNXC,Tin,34
SBXC,Antimony,35
CSXC,Cesium,36
BAXC,Barium,37
LAXC,Lanthanum,38
CEXC,Cerium,39
SMXC,Samarium,40
EUXC,Europium,41
TBXC,Terbium,42
HFXC,Hafnium,43
TAXC,Tantalum,44
WOXC,Wolfram,45
IRXC,Iridium,46
AUXC,Gold,47
HGXC,Mercury,48
TLXC,Thallium,49
PBXC,Lead,50
URXC,Uranium,51
